timestamp,cpu_utilization,memory_utilization,disk_usage,network_usage,cluster,usage_type,cost,recommendation,optimized_cost
2024-01-03 20:00:00,34,83,70,38,0,LOW,5.97,Reduce resources,4.178999999999999
2024-01-03 21:00:00,91,73,58,41,2,OPTIMAL,8.31,Keep as is,8.31
2024-01-03 22:00:00,81,34,84,11,1,HIGH,6.86,Scale up resources,7.546000000000001
2024-01-03 23:00:00,59,59,57,56,2,OPTIMAL,6.420000000000002,Keep as is,6.420000000000002
2024-01-04 00:00:00,72,59,47,31,1,HIGH,6.62,Scale up resources,7.282000000000001
2024-01-04 01:00:00,43,88,79,36,0,LOW,6.7299999999999995,Reduce resources,4.710999999999999
2024-01-04 02:00:00,45,86,52,65,2,OPTIMAL,6.5200000000000005,Keep as is,6.5200000000000005
2024-01-04 03:00:00,79,46,56,30,1,HIGH,6.75,Scale up resources,7.425000000000001
2024-01-04 04:00:00,60,77,74,56,2,OPTIMAL,7.350000000000001,Keep as is,7.350000000000001
2024-01-04 05:00:00,48,76,31,68,2,OPTIMAL,5.9799999999999995,Keep as is,5.9799999999999995
2024-01-04 06:00:00,34,52,53,15,0,LOW,4.470000000000001,Reduce resources,3.1290000000000004
2024-01-04 07:00:00,64,44,32,28,1,HIGH,5.4399999999999995,Scale up resources,5.984
2024-01-04 08:00:00,84,66,25,66,2,OPTIMAL,7.34,Keep as is,7.34
2024-01-04 09:00:00,90,50,81,12,1,HIGH,7.74,Scale up resources,8.514000000000001
2024-01-04 10:00:00,28,43,79,10,0,LOW,4.37,Reduce resources,3.0589999999999997
2024-01-04 11:00:00,20,31,27,67,0,LOW,3.1399999999999997,Reduce resources,2.1979999999999995
2024-01-04 12:00:00,27,40,48,47,0,LOW,3.98,Reduce resources,2.786
2024-01-04 13:00:00,82,80,47,24,1,HIGH,7.680000000000001,Scale up resources,8.448000000000002
2024-01-04 14:00:00,30,68,83,43,0,LOW,5.63,Reduce resources,3.941
2024-01-04 15:00:00,27,67,32,70,0,LOW,4.7,Reduce resources,3.29
2024-01-04 16:00:00,54,89,78,44,2,OPTIMAL,7.37,Keep as is,7.37
2024-01-04 17:00:00,54,63,81,73,2,OPTIMAL,6.9399999999999995,Keep as is,6.9399999999999995
2024-01-04 18:00:00,52,67,71,34,0,LOW,6.369999999999999,Reduce resources,4.458999999999999
2024-01-04 19:00:00,24,79,61,33,0,LOW,5.12,Reduce resources,3.5839999999999996
2024-01-04 20:00:00,60,63,27,21,1,HIGH,5.64,Scale up resources,6.204
2024-01-04 21:00:00,47,47,75,27,0,LOW,5.529999999999999,Reduce resources,3.870999999999999
2024-01-04 22:00:00,26,59,57,24,0,LOW,4.450000000000001,Reduce resources,3.1150000000000007
2024-01-04 23:00:00,92,44,52,36,1,HIGH,7.32,Scale up resources,8.052000000000001
2024-01-05 00:00:00,91,56,71,69,2,OPTIMAL,8.34,Keep as is,8.34
2024-01-05 01:00:00,31,80,32,55,0,LOW,5.14,Reduce resources,3.5979999999999994
2024-01-05 02:00:00,53,63,58,26,1,HIGH,5.96,Scale up resources,6.556
2024-01-05 03:00:00,52,81,59,62,2,OPTIMAL,6.829999999999999,Keep as is,6.829999999999999
2024-01-05 04:00:00,67,86,56,17,1,HIGH,7.22,Scale up resources,7.942
2024-01-05 05:00:00,42,67,48,36,0,LOW,5.43,Reduce resources,3.8009999999999997
2024-01-05 06:00:00,81,62,38,55,2,OPTIMAL,7.22,Keep as is,7.22
2024-01-05 07:00:00,56,53,56,59,2,OPTIMAL,6.1000000000000005,Keep as is,6.1000000000000005
2024-01-05 08:00:00,63,44,80,12,1,HIGH,6.19,Scale up resources,6.809000000000001
2024-01-05 09:00:00,54,89,70,73,2,OPTIMAL,7.5,Keep as is,7.5
2024-01-05 10:00:00,84,59,67,53,2,OPTIMAL,7.840000000000001,Keep as is,7.840000000000001
2024-01-05 11:00:00,66,84,40,62,2,OPTIMAL,7.24,Keep as is,7.24
2024-01-05 12:00:00,22,71,28,33,0,LOW,4.12,Reduce resources,2.884
2024-01-05 13:00:00,20,80,76,69,0,LOW,5.61,Reduce resources,3.927
2024-01-05 14:00:00,24,46,61,12,0,LOW,3.92,Reduce resources,2.7439999999999998
2024-01-05 15:00:00,33,34,78,29,0,LOW,4.5200000000000005,Reduce resources,3.164
2024-01-05 16:00:00,46,58,45,55,0,LOW,5.49,Reduce resources,3.843
2024-01-05 17:00:00,28,33,38,24,0,LOW,3.3900000000000006,Reduce resources,2.373
2024-01-05 18:00:00,34,39,55,34,0,LOW,4.3100000000000005,Reduce resources,3.0170000000000003
2024-01-05 19:00:00,61,85,79,26,1,HIGH,7.4399999999999995,Scale up resources,8.184
2024-01-05 20:00:00,70,46,72,18,1,HIGH,6.5,Scale up resources,7.15
2024-01-05 21:00:00,82,39,42,47,1,HIGH,6.58,Scale up resources,7.238
2024-01-05 22:00:00,71,46,31,57,2,OPTIMAL,6.12,Keep as is,6.12
2024-01-05 23:00:00,23,89,34,69,0,LOW,5.19,Reduce resources,3.633
2024-01-06 00:00:00,42,49,31,72,0,LOW,4.91,Reduce resources,3.437
2024-01-06 01:00:00,34,53,57,11,0,LOW,4.54,Reduce resources,3.178
2024-01-06 02:00:00,62,34,47,20,1,HIGH,5.260000000000001,Scale up resources,5.786000000000001
2024-01-06 03:00:00,48,63,45,73,2,OPTIMAL,5.92,Keep as is,5.92
2024-01-06 04:00:00,55,35,43,30,1,HIGH,4.96,Scale up resources,5.456
2024-01-06 05:00:00,32,82,72,27,0,LOW,5.77,Reduce resources,4.039
2024-01-06 06:00:00,51,31,43,73,2,OPTIMAL,5.07,Keep as is,5.07
2024-01-06 07:00:00,90,42,60,47,1,HIGH,7.43,Scale up resources,8.173
2024-01-06 08:00:00,78,72,53,41,2,OPTIMAL,7.530000000000001,Keep as is,7.530000000000001
2024-01-06 09:00:00,47,72,84,20,0,LOW,6.39,Reduce resources,4.473
2024-01-06 10:00:00,85,77,42,54,2,OPTIMAL,7.94,Keep as is,7.94
2024-01-06 11:00:00,61,40,26,42,1,HIGH,5.1899999999999995,Scale up resources,5.709
2024-01-06 12:00:00,64,80,25,50,2,OPTIMAL,6.6,Keep as is,6.6
2024-01-06 13:00:00,81,76,71,17,1,HIGH,7.92,Scale up resources,8.712
2024-01-06 14:00:00,76,86,29,20,1,HIGH,7.160000000000001,Scale up resources,7.876000000000002
2024-01-06 15:00:00,25,52,44,60,0,LOW,4.29,Reduce resources,3.0029999999999997
2024-01-06 16:00:00,47,84,35,50,0,LOW,6.07,Reduce resources,4.249
2024-01-06 17:00:00,47,45,66,26,0,LOW,5.28,Reduce resources,3.6959999999999997
2024-01-06 18:00:00,63,60,26,55,2,OPTIMAL,6.0200000000000005,Keep as is,6.0200000000000005
2024-01-06 19:00:00,49,40,27,41,0,LOW,4.6000000000000005,Reduce resources,3.22
2024-01-06 20:00:00,81,83,47,63,2,OPTIMAL,8.11,Keep as is,8.11
2024-01-06 21:00:00,94,45,79,29,1,HIGH,7.92,Scale up resources,8.712
2024-01-06 22:00:00,81,37,36,42,1,HIGH,6.3,Scale up resources,6.930000000000001
2024-01-06 23:00:00,20,33,44,49,0,LOW,3.3600000000000003,Reduce resources,2.352
2024-01-07 00:00:00,46,69,29,41,0,LOW,5.36,Reduce resources,3.752
2024-01-07 01:00:00,81,33,61,11,1,HIGH,6.37,Scale up resources,7.007000000000001
2024-01-07 02:00:00,22,85,62,42,0,LOW,5.31,Reduce resources,3.7169999999999996
2024-01-07 03:00:00,89,54,54,39,1,HIGH,7.54,Scale up resources,8.294
2024-01-07 04:00:00,91,32,33,42,1,HIGH,6.59,Scale up resources,7.2490000000000006
2024-01-07 05:00:00,46,61,58,35,0,LOW,5.64,Reduce resources,3.9479999999999995
2024-01-07 06:00:00,28,32,77,31,0,LOW,4.21,Reduce resources,2.9469999999999996
2024-01-07 07:00:00,81,56,68,47,2,OPTIMAL,7.56,Keep as is,7.56
2024-01-07 08:00:00,56,58,59,55,2,OPTIMAL,6.27,Keep as is,6.27
2024-01-07 09:00:00,70,61,76,24,1,HIGH,7.09,Scale up resources,7.799
2024-01-07 10:00:00,63,79,82,53,2,OPTIMAL,7.69,Keep as is,7.69
2024-01-07 11:00:00,43,87,46,58,2,OPTIMAL,6.26,Keep as is,6.26
2024-01-07 12:00:00,78,80,68,70,2,OPTIMAL,8.360000000000001,Keep as is,8.360000000000001
2024-01-07 13:00:00,51,48,48,15,1,HIGH,5.1000000000000005,Scale up resources,5.610000000000001
2024-01-07 14:00:00,71,50,41,18,1,HIGH,6.050000000000001,Scale up resources,6.655000000000001
2024-01-07 15:00:00,81,34,34,15,1,HIGH,5.9,Scale up resources,6.490000000000001
2024-01-07 16:00:00,77,47,54,41,1,HIGH,6.75,Scale up resources,7.425000000000001
2024-01-07 17:00:00,71,57,80,50,2,OPTIMAL,7.359999999999999,Keep as is,7.359999999999999
2024-01-07 18:00:00,31,71,83,17,0,LOW,5.51,Reduce resources,3.8569999999999998
2024-01-07 19:00:00,58,51,70,59,2,OPTIMAL,6.420000000000001,Keep as is,6.420000000000001
2024-01-07 20:00:00,21,50,47,71,0,LOW,4.199999999999999,Reduce resources,2.9399999999999995
2024-01-07 21:00:00,22,35,56,71,0,LOW,3.9800000000000004,Reduce resources,2.786
2024-01-07 22:00:00,75,30,41,16,1,HIGH,5.630000000000001,Scale up resources,6.193000000000001
2024-01-07 23:00:00,78,34,74,13,1,HIGH,6.53,Scale up resources,7.183000000000001
2024-01-08 00:00:00,21,70,75,15,0,LOW,4.800000000000001,Reduce resources,3.3600000000000003
2024-01-08 01:00:00,21,41,41,67,0,LOW,3.7700000000000005,Reduce resources,2.6390000000000002
2024-01-08 02:00:00,73,55,38,31,1,HIGH,6.37,Scale up resources,7.007000000000001
2024-01-08 03:00:00,20,75,33,35,0,LOW,4.26,Reduce resources,2.9819999999999998
2024-01-08 04:00:00,38,63,64,12,0,LOW,5.19,Reduce resources,3.633
2024-01-08 05:00:00,21,78,26,50,0,LOW,4.41,Reduce resources,3.0869999999999997
2024-01-08 06:00:00,72,43,69,69,2,OPTIMAL,6.960000000000001,Keep as is,6.960000000000001
2024-01-08 07:00:00,63,55,49,23,1,HIGH,6.010000000000002,Scale up resources,6.611000000000002
2024-01-08 08:00:00,51,74,63,21,0,LOW,6.239999999999999,Reduce resources,4.367999999999999
2024-01-08 09:00:00,89,56,33,21,1,HIGH,7.0,Scale up resources,7.700000000000001
2024-01-08 10:00:00,51,38,78,22,1,HIGH,5.47,Scale up resources,6.017
2024-01-08 11:00:00,87,55,46,34,1,HIGH,7.26,Scale up resources,7.986000000000001
2024-01-08 12:00:00,74,86,67,54,2,OPTIMAL,8.16,Keep as is,8.16
2024-01-08 13:00:00,94,76,70,28,1,HIGH,8.66,Scale up resources,9.526000000000002
2024-01-08 14:00:00,75,86,28,64,2,OPTIMAL,7.53,Keep as is,7.53
2024-01-08 15:00:00,36,51,50,54,0,LOW,4.87,Reduce resources,3.409
2024-01-08 16:00:00,57,76,82,17,1,HIGH,6.9399999999999995,Scale up resources,7.634
2024-01-08 17:00:00,43,85,53,62,2,OPTIMAL,6.38,Keep as is,6.38
2024-01-08 18:00:00,88,59,69,64,2,OPTIMAL,8.19,Keep as is,8.19
2024-01-08 19:00:00,89,72,58,41,2,OPTIMAL,8.18,Keep as is,8.18
2024-01-08 20:00:00,30,77,47,60,0,LOW,5.35,Reduce resources,3.7449999999999997
2024-01-08 21:00:00,35,46,61,53,0,LOW,4.88,Reduce resources,3.416
2024-01-08 22:00:00,92,55,35,27,1,HIGH,7.220000000000001,Scale up resources,7.942000000000001
2024-01-08 23:00:00,78,65,30,31,1,HIGH,6.76,Scale up resources,7.436
2024-01-09 00:00:00,89,30,42,46,1,HIGH,6.6499999999999995,Scale up resources,7.315
2024-01-09 01:00:00,22,37,45,65,0,LOW,3.76,Reduce resources,2.6319999999999997
2024-01-09 02:00:00,39,78,66,68,2,OPTIMAL,6.29,Keep as is,6.29
2024-01-09 03:00:00,78,64,60,12,1,HIGH,7.140000000000001,Scale up resources,7.854000000000001
2024-01-09 04:00:00,55,81,65,37,2,OPTIMAL,6.85,Keep as is,6.85
2024-01-09 05:00:00,38,44,62,44,0,LOW,4.9,Reduce resources,3.43
2024-01-09 06:00:00,86,76,58,70,2,OPTIMAL,8.44,Keep as is,8.44
2024-01-09 07:00:00,38,85,41,63,0,LOW,5.9,Reduce resources,4.13
2024-01-09 08:00:00,39,51,61,72,0,LOW,5.42,Reduce resources,3.7939999999999996
2024-01-09 09:00:00,90,43,49,16,1,HIGH,6.93,Scale up resources,7.623
2024-01-09 10:00:00,71,55,62,58,2,OPTIMAL,7.0200000000000005,Keep as is,7.0200000000000005
2024-01-09 11:00:00,52,57,82,40,0,LOW,6.350000000000001,Reduce resources,4.445
2024-01-09 12:00:00,59,52,36,67,2,OPTIMAL,5.8999999999999995,Keep as is,5.8999999999999995
2024-01-09 13:00:00,58,43,47,70,2,OPTIMAL,5.830000000000001,Keep as is,5.830000000000001
2024-01-09 14:00:00,20,53,77,33,0,LOW,4.46,Reduce resources,3.122
2024-01-09 15:00:00,30,31,66,29,0,LOW,4.04,Reduce resources,2.828
2024-01-09 16:00:00,76,74,46,46,2,OPTIMAL,7.3999999999999995,Keep as is,7.3999999999999995
2024-01-09 17:00:00,69,55,45,13,1,HIGH,6.13,Scale up resources,6.743
2024-01-09 18:00:00,42,43,51,29,0,LOW,4.7,Reduce resources,3.29
2024-01-09 19:00:00,50,88,81,69,2,OPTIMAL,7.45,Keep as is,7.45
2024-01-09 20:00:00,61,85,55,33,2,OPTIMAL,7.029999999999999,Keep as is,7.029999999999999
2024-01-09 21:00:00,26,80,30,59,0,LOW,4.89,Reduce resources,3.4229999999999996
2024-01-09 22:00:00,35,36,51,58,0,LOW,4.43,Reduce resources,3.1009999999999995
2024-01-09 23:00:00,79,32,64,60,2,OPTIMAL,6.79,Keep as is,6.79
2024-01-10 00:00:00,21,76,58,45,0,LOW,4.94,Reduce resources,3.458
2024-01-10 01:00:00,20,52,36,43,0,LOW,3.7100000000000004,Reduce resources,2.597
2024-01-10 02:00:00,67,75,69,45,2,OPTIMAL,7.43,Keep as is,7.43
2024-01-10 03:00:00,31,72,81,15,0,LOW,5.48,Reduce resources,3.836
2024-01-10 04:00:00,88,76,77,48,2,OPTIMAL,8.7,Keep as is,8.7
2024-01-10 05:00:00,56,89,31,51,2,OPTIMAL,6.6000000000000005,Keep as is,6.6000000000000005
2024-01-10 06:00:00,51,74,34,67,2,OPTIMAL,6.119999999999999,Keep as is,6.119999999999999
2024-01-10 07:00:00,28,47,69,21,0,LOW,4.4,Reduce resources,3.08
2024-01-10 08:00:00,38,87,41,12,0,LOW,5.45,Reduce resources,3.815
2024-01-10 09:00:00,67,67,50,27,1,HIGH,6.629999999999999,Scale up resources,7.292999999999999
2024-01-10 10:00:00,22,64,45,49,0,LOW,4.41,Reduce resources,3.0869999999999997
2024-01-10 11:00:00,39,80,52,30,0,LOW,5.6899999999999995,Reduce resources,3.982999999999999
2024-01-10 12:00:00,43,44,82,24,0,LOW,5.35,Reduce resources,3.7449999999999997
2024-01-10 13:00:00,73,54,70,35,1,HIGH,7.0200000000000005,Scale up resources,7.722000000000001
2024-01-10 14:00:00,52,84,26,17,1,HIGH,5.8100000000000005,Scale up resources,6.391000000000001
2024-01-10 15:00:00,43,66,84,51,0,LOW,6.319999999999999,Reduce resources,4.4239999999999995
2024-01-10 16:00:00,94,57,78,53,2,OPTIMAL,8.5,Keep as is,8.5
2024-01-10 17:00:00,91,39,67,23,1,HIGH,7.29,Scale up resources,8.019
2024-01-10 18:00:00,55,68,25,11,1,HIGH,5.4,Scale up resources,5.940000000000001
2024-01-10 19:00:00,57,86,75,46,2,OPTIMAL,7.39,Keep as is,7.39
2024-01-10 20:00:00,44,46,77,47,0,LOW,5.59,Reduce resources,3.913
2024-01-10 21:00:00,37,68,60,50,0,LOW,5.59,Reduce resources,3.913
2024-01-10 22:00:00,85,51,75,71,2,OPTIMAL,7.99,Keep as is,7.99
2024-01-10 23:00:00,73,55,50,69,2,OPTIMAL,6.990000000000001,Keep as is,6.990000000000001
2024-01-11 00:00:00,54,73,53,23,1,HIGH,6.1800000000000015,Scale up resources,6.798000000000002
2024-01-11 01:00:00,80,54,45,11,1,HIGH,6.630000000000001,Scale up resources,7.293000000000001
2024-01-11 02:00:00,60,46,35,26,1,HIGH,5.34,Scale up resources,5.8740000000000006
2024-01-11 03:00:00,52,42,64,37,0,LOW,5.510000000000001,Reduce resources,3.857
2024-01-11 04:00:00,87,49,35,44,1,HIGH,6.960000000000001,Scale up resources,7.6560000000000015
2024-01-11 05:00:00,52,54,60,14,1,HIGH,5.56,Scale up resources,6.116
2024-01-11 06:00:00,33,33,73,74,0,LOW,4.84,Reduce resources,3.388
2024-01-11 07:00:00,40,39,83,49,0,LOW,5.32,Reduce resources,3.7239999999999998
2024-01-11 08:00:00,67,32,63,65,2,OPTIMAL,6.220000000000001,Keep as is,6.220000000000001
2024-01-11 09:00:00,39,70,64,45,0,LOW,5.780000000000001,Reduce resources,4.046
2024-01-11 10:00:00,27,74,59,54,0,LOW,5.29,Reduce resources,3.703
2024-01-11 11:00:00,26,47,78,32,0,LOW,4.59,Reduce resources,3.2129999999999996
2024-01-11 12:00:00,86,76,58,56,2,OPTIMAL,8.3,Keep as is,8.3
2024-01-11 13:00:00,36,65,79,40,0,LOW,5.73,Reduce resources,4.011
2024-01-11 14:00:00,52,76,71,20,1,HIGH,6.5,Scale up resources,7.15
2024-01-11 15:00:00,67,51,48,19,1,HIGH,6.03,Scale up resources,6.633000000000001
2024-01-11 16:00:00,78,63,78,23,1,HIGH,7.58,Scale up resources,8.338000000000001
2024-01-11 17:00:00,41,76,46,19,0,LOW,5.44,Reduce resources,3.808
2024-01-11 18:00:00,49,37,29,10,1,HIGH,4.239999999999999,Scale up resources,4.664
2024-01-11 19:00:00,57,69,80,14,1,HIGH,6.659999999999999,Scale up resources,7.326
2024-01-11 20:00:00,70,78,57,29,1,HIGH,7.2700000000000005,Scale up resources,7.997000000000001
2024-01-11 21:00:00,73,73,82,17,1,HIGH,7.65,Scale up resources,8.415000000000001
2024-01-11 22:00:00,27,48,60,52,0,LOW,4.51,Reduce resources,3.1569999999999996
2024-01-11 23:00:00,46,71,71,10,0,LOW,5.949999999999999,Reduce resources,4.164999999999999
2024-01-12 00:00:00,46,70,44,66,2,OPTIMAL,5.94,Keep as is,5.94
2024-01-12 01:00:00,40,66,43,73,2,OPTIMAL,5.57,Keep as is,5.57
2024-01-12 02:00:00,49,35,59,37,0,LOW,5.05,Reduce resources,3.5349999999999997
2024-01-12 03:00:00,47,81,76,46,0,LOW,6.759999999999999,Reduce resources,4.731999999999999
2024-01-12 04:00:00,83,55,67,56,2,OPTIMAL,7.700000000000001,Keep as is,7.700000000000001
2024-01-12 05:00:00,88,63,41,46,2,OPTIMAL,7.57,Keep as is,7.57
2024-01-12 06:00:00,80,88,83,58,2,OPTIMAL,8.88,Keep as is,8.88
2024-01-12 07:00:00,67,85,69,53,2,OPTIMAL,7.8100000000000005,Keep as is,7.8100000000000005
2024-01-12 08:00:00,38,88,67,65,2,OPTIMAL,6.53,Keep as is,6.53
2024-01-12 09:00:00,23,74,58,37,0,LOW,4.9,Reduce resources,3.43
2024-01-12 10:00:00,54,35,33,15,1,HIGH,4.5600000000000005,Scale up resources,5.016000000000001
2024-01-12 11:00:00,83,66,50,70,2,OPTIMAL,7.830000000000001,Keep as is,7.830000000000001
2024-01-12 12:00:00,68,86,26,29,1,HIGH,6.79,Scale up resources,7.469
2024-01-12 13:00:00,36,62,77,11,0,LOW,5.3100000000000005,Reduce resources,3.717
2024-01-12 14:00:00,63,82,33,46,2,OPTIMAL,6.73,Keep as is,6.73
2024-01-12 15:00:00,49,51,33,29,0,LOW,4.930000000000001,Reduce resources,3.451
2024-01-12 16:00:00,65,50,64,35,1,HIGH,6.38,Scale up resources,7.018000000000001
2024-01-12 17:00:00,25,35,41,38,0,LOW,3.5,Reduce resources,2.4499999999999997
2024-01-12 18:00:00,56,35,25,10,1,HIGH,4.45,Scale up resources,4.8950000000000005
2024-01-12 19:00:00,43,84,49,44,0,LOW,6.090000000000001,Reduce resources,4.263
2024-01-12 20:00:00,65,77,67,68,2,OPTIMAL,7.58,Keep as is,7.58
2024-01-12 21:00:00,72,33,64,42,1,HIGH,6.29,Scale up resources,6.9190000000000005
2024-01-12 22:00:00,79,59,66,60,2,OPTIMAL,7.640000000000001,Keep as is,7.640000000000001
2024-01-12 23:00:00,82,40,49,21,1,HIGH,6.490000000000001,Scale up resources,7.139000000000002
2024-01-13 00:00:00,51,59,63,29,0,LOW,5.87,Reduce resources,4.109
2024-01-13 01:00:00,52,60,59,62,2,OPTIMAL,6.2,Keep as is,6.2
2024-01-13 02:00:00,86,53,27,52,2,OPTIMAL,6.949999999999999,Keep as is,6.949999999999999
2024-01-13 03:00:00,37,84,74,59,0,LOW,6.4399999999999995,Reduce resources,4.507999999999999
2024-01-13 04:00:00,44,38,61,38,0,LOW,4.9399999999999995,Reduce resources,3.4579999999999993
2024-01-13 05:00:00,73,84,68,66,2,OPTIMAL,8.19,Keep as is,8.19
2024-01-13 06:00:00,77,32,68,48,1,HIGH,6.65,Scale up resources,7.315000000000001
